product,original price,current price,rating,number of reviews
"Lenovo IdeaPad Slim 3 Intel Core 5-120U 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 2021/1Yr ADP Free/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg), 83E6001JIN","Rs 58,490","Rs 58,490",5.0,1
"Lenovo Yoga Slim 7 Aura Edition, Intel Core Ultra 7 258V, 32GB RAM, 1TB SSD, 15""/38.86cm, Windows 11, MS Office Home 2024, Grey, 1.53Kg, 83HM004NIN, Copilot+ PC AI Powered Laptop","Rs 1,47,990","Rs 1,47,990",4.8,8
"MSI Stealth 16 AI Studio, Intel Core Ultra 7 155H,Built-in AI, 41CM QHD+ 240Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4060, GDDR6 8GB/Star Blue/1.99Kg), A1VFG-058IN","Rs 1,44,645","Rs 1,44,645", - ,0
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","Rs 61,490","Rs 61,490",4.1,240
"HP 15, AMD Ryzen 3 7320U, 8GB LPDDR5, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch (39.6 cm), FHD, AMD Radeon Graphics, 1080p HD Camera, (Win 11, Silver, 1.59 kg), fc0154AU","Rs 29,990","Rs 29,990",4.0,"1,512"
"Acer ALG Intel Core i5-13th Gen 13420H Processor, NVIDIA GeForce RTX 3050-6GB DDR6(16 GB RAM/512GB SSD) FHD, 15.6""/39.62cm, 144Hz,Windows 11 Home, Steel Gray, 1.99kg, AL15G-53, Gaming Laptop","Rs 63,999","Rs 63,999", - ,0
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021","Rs 31,990","Rs 31,990",4.8,5
"HP 255 G9 Ryzen 3 Dual Core AMD Ryzenâ„¢ 3 Processor 3250U - (8 GB/512 GB SSD/AMD Radeon Graphics) 9H237PT Thin and Light Laptop (15.6 inch, Black, 1.47 kg)","Rs 23,990","Rs 23,990",2.1,10
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD IPS, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0073IN, 1Yr ADP Free, Thin & Light Laptop","Rs 49,900","Rs 49,900",3.9,496
"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey","Rs 83,990","Rs 83,990",4.5,64
"AVITA Liber E 12th Gen Intel core i5 Thin & Light (8GB RAM/512GB SSD, 14.1 (35.6 cm) FHD IPS Display/Win 11 Home/Silver/1.53 Kg)","Rs 31,490","Rs 31,490",3.6,7
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","Rs 16,990","Rs 16,990",3.5,"3,226"
"Lenovo Legion Pro 7 Intel Core i9-14900HX 16"" (40.6cm) WQXGA IPS 500Nits 240Hz Gaming Laptop (32GB/1TB SSD/Win 11/Office 21/NVIDIA RTX 4090 16GB/100% DCI-P3/3mon Xbox Game Pass/Black/2.6Kg),83DE001JIN","Rs 3,19,990","Rs 3,19,990",3.1,9
